DATE,YEAR,MNTH,T2M
1981-01-01,1981,1,18.89
1982-01-01,1982,1,19.8
1983-01-01,1983,1,20.21
1984-01-01,1984,1,19.96
1985-01-01,1985,1,20.56
1986-01-01,1986,1,18.54
1987-01-01,1987,1,17.56
1988-01-01,1988,1,19.71
1989-01-01,1989,1,17.59
1990-01-01,1990,1,19.66
1991-01-01,1991,1,18.38
1992-01-01,1992,1,17.71
1993-01-01,1993,1,19.72
1994-01-01,1994,1,18.82
1995-01-01,1995,1,18.29
1996-01-01,1996,1,18.35
1997-01-01,1997,1,18.54
1998-01-01,1998,1,17.75
1999-01-01,1999,1,16.66
2000-01-01,2000,1,17.65
2001-01-01,2001,1,16.72
2002-01-01,2002,1,18.24
2003-01-01,2003,1,16.06
2004-01-01,2004,1,16.93
2005-01-01,2005,1,17.95
2006-01-01,2006,1,17.37
2007-01-01,2007,1,17.01
2008-01-01,2008,1,16.93
2009-01-01,2009,1,19.12
2010-01-01,2010,1,16.38
2011-01-01,2011,1,17.05
2012-01-01,2012,1,18.35
2013-01-01,2013,1,15.91
2014-01-01,2014,1,16.73
2015-01-01,2015,1,17.66
2016-01-01,2016,1,19.49
2017-01-01,2017,1,17.95
2018-01-01,2018,1,15.63
2019-01-01,2019,1,17.93
2020-01-01,2020,1,16.79
2021-01-01,2021,1,18.54
2022-01-01,2022,1,17.07
2023-01-01,2023,1,18.77
2024-01-01,2024,1,16.54
1981-02-01,1981,2,22.06
1982-02-01,1982,2,21.88
1983-02-01,1983,2,23.12
1984-02-01,1984,2,22.9
1985-02-01,1985,2,22.65
1986-02-01,1986,2,23.72
1987-02-01,1987,2,22.52
1988-02-01,1988,2,23.71
1989-02-01,1989,2,22.95
1990-02-01,1990,2,24.01
1991-02-01,1991,2,24.39
1992-02-01,1992,2,21.82
1993-02-01,1993,2,23.85
1994-02-01,1994,2,21.53
1995-02-01,1995,2,23.08
1996-02-01,1996,2,21.73
1997-02-01,1997,2,22.3
1998-02-01,1998,2,22.23
1999-02-01,1999,2,22.9
2000-02-01,2000,2,21.34
2001-02-01,2001,2,23.04
2002-02-01,2002,2,21.64
2003-02-01,2003,2,23.21
2004-02-01,2004,2,20.61
2005-02-01,2005,2,23.18
2006-02-01,2006,2,23.68
2007-02-01,2007,2,21.8
2008-02-01,2008,2,19.19
2009-02-01,2009,2,22.81
2010-02-01,2010,2,22.06
2011-02-01,2011,2,22.21
2012-02-01,2012,2,21.37
2013-02-01,2013,2,21.36
2014-02-01,2014,2,20.43
2015-02-01,2015,2,22.23
2016-02-01,2016,2,25.12
2017-02-01,2017,2,22.66
2018-02-01,2018,2,21.61
2019-02-01,2019,2,22.64
2020-02-01,2020,2,19.3
2021-02-01,2021,2,22.21
2022-02-01,2022,2,19.9
2023-02-01,2023,2,23.08
2024-02-01,2024,2,22.07
1981-03-01,1981,3,26.55
1982-03-01,1982,3,25.58
1983-03-01,1983,3,28.19
1984-03-01,1984,3,28.51
1985-03-01,1985,3,29.11
1986-03-01,1986,3,28.96
1987-03-01,1987,3,27.77
1988-03-01,1988,3,28.0
1989-03-01,1989,3,28.11
1990-03-01,1990,3,26.2
1991-03-01,1991,3,29.97
1992-03-01,1992,3,27.99
1993-03-01,1993,3,27.41
1994-03-01,1994,3,28.25
1995-03-01,1995,3,28.01
1996-03-01,1996,3,28.72
1997-03-01,1997,3,28.66
1998-03-01,1998,3,25.13
1999-03-01,1999,3,28.26
2000-03-01,2000,3,27.02
2001-03-01,2001,3,28.09
2002-03-01,2002,3,27.79
2003-03-01,2003,3,26.2
2004-03-01,2004,3,28.12
2005-03-01,2005,3,28.23
2006-03-01,2006,3,28.29
2007-03-01,2007,3,26.06
2008-03-01,2008,3,27.08
2009-03-01,2009,3,27.8
2010-03-01,2010,3,29.13
2011-03-01,2011,3,27.94
2012-03-01,2012,3,27.51
2013-03-01,2013,3,27.81
2014-03-01,2014,3,26.5
2015-03-01,2015,3,27.12
2016-03-01,2016,3,28.19
2017-03-01,2017,3,26.55
2018-03-01,2018,3,27.53
2019-03-01,2019,3,25.83
2020-03-01,2020,3,25.53
2021-03-01,2021,3,29.4
2022-03-01,2022,3,26.25
2023-03-01,2023,3,27.67
2024-03-01,2024,3,27.03
1981-04-01,1981,4,29.0
1982-04-01,1982,4,30.21
1983-04-01,1983,4,31.79
1984-04-01,1984,4,31.78
1985-04-01,1985,4,32.46
1986-04-01,1986,4,31.73
1987-04-01,1987,4,31.07
1988-04-01,1988,4,31.37
1989-04-01,1989,4,32.0
1990-04-01,1990,4,29.95
1991-04-01,1991,4,32.56
1992-04-01,1992,4,33.03
1993-04-01,1993,4,30.46
1994-04-01,1994,4,31.03
1995-04-01,1995,4,32.9
1996-04-01,1996,4,31.7
1997-04-01,1997,4,28.17
1998-04-01,1998,4,29.86
1999-04-01,1999,4,32.31
2000-04-01,2000,4,30.87
2001-04-01,2001,4,31.43
2002-04-01,2002,4,31.06
2003-04-01,2003,4,31.48
2004-04-01,2004,4,31.1
2005-04-01,2005,4,31.01
2006-04-01,2006,4,31.42
2007-04-01,2007,4,31.41
2008-04-01,2008,4,29.83
2009-04-01,2009,4,32.27
2010-04-01,2010,4,32.76
2011-04-01,2011,4,30.17
2012-04-01,2012,4,31.08
2013-04-01,2013,4,31.51
2014-04-01,2014,4,32.93
2015-04-01,2015,4,29.51
2016-04-01,2016,4,33.32
2017-04-01,2017,4,31.01
2018-04-01,2018,4,29.5
2019-04-01,2019,4,30.85
2020-04-01,2020,4,30.23
2021-04-01,2021,4,31.55
2022-04-01,2022,4,31.95
2023-04-01,2023,4,31.65
2024-04-01,2024,4,33.7
1981-05-01,1981,5,29.1
1982-05-01,1982,5,31.63
1983-05-01,1983,5,31.14
1984-05-01,1984,5,30.81
1985-05-01,1985,5,31.42
1986-05-01,1986,5,30.99
1987-05-01,1987,5,31.08
1988-05-01,1988,5,31.48
1989-05-01,1989,5,31.71
1990-05-01,1990,5,30.52
1991-05-01,1991,5,32.97
1992-05-01,1992,5,31.16
1993-05-01,1993,5,31.05
1994-05-01,1994,5,32.27
1995-05-01,1995,5,30.64
1996-05-01,1996,5,32.97
1997-05-01,1997,5,31.63
1998-05-01,1998,5,32.2
1999-05-01,1999,5,31.4
2000-05-01,2000,5,29.5
2001-05-01,2001,5,31.01
2002-05-01,2002,5,32.85
2003-05-01,2003,5,32.74
2004-05-01,2004,5,32.8
2005-05-01,2005,5,31.35
2006-05-01,2006,5,30.71
2007-05-01,2007,5,31.82
2008-05-01,2008,5,31.48
2009-05-01,2009,5,30.32
2010-05-01,2010,5,30.81
2011-05-01,2011,5,30.69
2012-05-01,2012,5,31.97
2013-05-01,2013,5,31.18
2014-05-01,2014,5,32.62
2015-05-01,2015,5,31.31
2016-05-01,2016,5,32.02
2017-05-01,2017,5,32.02
2018-05-01,2018,5,30.79
2019-05-01,2019,5,32.02
2020-05-01,2020,5,30.12
2021-05-01,2021,5,30.85
2022-05-01,2022,5,30.68
2023-05-01,2023,5,32.09
2024-05-01,2024,5,31.79
1981-06-01,1981,6,29.23
1982-06-01,1982,6,29.44
1983-06-01,1983,6,30.81
1984-06-01,1984,6,28.89
1985-06-01,1985,6,30.79
1986-06-01,1986,6,30.36
1987-06-01,1987,6,30.57
1988-06-01,1988,6,29.81
1989-06-01,1989,6,29.4
1990-06-01,1990,6,29.48
1991-06-01,1991,6,29.42
1992-06-01,1992,6,29.58
1993-06-01,1993,6,29.69
1994-06-01,1994,6,29.43
1995-06-01,1995,6,29.22
1996-06-01,1996,6,30.02
1997-06-01,1997,6,30.05
1998-06-01,1998,6,30.69
1999-06-01,1999,6,29.61
2000-06-01,2000,6,28.74
2001-06-01,2001,6,28.29
2002-06-01,2002,6,29.26
2003-06-01,2003,6,30.37
2004-06-01,2004,6,29.55
2005-06-01,2005,6,31.19
2006-06-01,2006,6,29.12
2007-06-01,2007,6,29.93
2008-06-01,2008,6,28.59
2009-06-01,2009,6,30.14
2010-06-01,2010,6,30.12
2011-06-01,2011,6,29.58
2012-06-01,2012,6,31.53
2013-06-01,2013,6,29.11
2014-06-01,2014,6,30.6
2015-06-01,2015,6,30.12
2016-06-01,2016,6,29.94
2017-06-01,2017,6,30.19
2018-06-01,2018,6,29.79
2019-06-01,2019,6,31.43
2020-06-01,2020,6,29.15
2021-06-01,2021,6,28.77
2022-06-01,2022,6,29.88
2023-06-01,2023,6,31.94
2024-06-01,2024,6,30.64
1981-07-01,1981,7,28.33
1982-07-01,1982,7,29.13
1983-07-01,1983,7,30.12
1984-07-01,1984,7,28.12
1985-07-01,1985,7,28.15
1986-07-01,1986,7,28.27
1987-07-01,1987,7,29.17
1988-07-01,1988,7,28.4
1989-07-01,1989,7,28.44
1990-07-01,1990,7,28.05
1991-07-01,1991,7,28.48
1992-07-01,1992,7,28.18
1993-07-01,1993,7,28.59
1994-07-01,1994,7,28.14
1995-07-01,1995,7,28.14
1996-07-01,1996,7,28.66
1997-07-01,1997,7,28.31
1998-07-01,1998,7,28.98
1999-07-01,1999,7,28.27
2000-07-01,2000,7,28.34
2001-07-01,2001,7,28.14
2002-07-01,2002,7,28.72
2003-07-01,2003,7,28.55
2004-07-01,2004,7,28.42
2005-07-01,2005,7,28.64
2006-07-01,2006,7,28.52
2007-07-01,2007,7,28.24
2008-07-01,2008,7,28.08
2009-07-01,2009,7,29.02
2010-07-01,2010,7,28.77
2011-07-01,2011,7,28.28
2012-07-01,2012,7,29.08
2013-07-01,2013,7,28.77
2014-07-01,2014,7,28.98
2015-07-01,2015,7,28.31
2016-07-01,2016,7,28.56
2017-07-01,2017,7,28.51
2018-07-01,2018,7,29.02
2019-07-01,2019,7,29.99
2020-07-01,2020,7,28.8
2021-07-01,2021,7,28.72
2022-07-01,2022,7,28.89
2023-07-01,2023,7,29.58
2024-07-01,2024,7,29.54
1981-08-01,1981,8,28.18
1982-08-01,1982,8,27.83
1983-08-01,1983,8,28.63
1984-08-01,1984,8,27.94
1985-08-01,1985,8,28.36
1986-08-01,1986,8,28.4
1987-08-01,1987,8,28.24
1988-08-01,1988,8,28.32
1989-08-01,1989,8,27.81
1990-08-01,1990,8,28.03
1991-08-01,1991,8,28.35
1992-08-01,1992,8,27.8
1993-08-01,1993,8,28.21
1994-08-01,1994,8,27.94
1995-08-01,1995,8,27.87
1996-08-01,1996,8,27.66
1997-08-01,1997,8,28.02
1998-08-01,1998,8,28.26
1999-08-01,1999,8,27.85
2000-08-01,2000,8,28.09
2001-08-01,2001,8,28.17
2002-08-01,2002,8,27.86
2003-08-01,2003,8,28.47
2004-08-01,2004,8,28.09
2005-08-01,2005,8,28.6
2006-08-01,2006,8,27.95
2007-08-01,2007,8,28.01
2008-08-01,2008,8,27.95
2009-08-01,2009,8,28.16
2010-08-01,2010,8,28.36
2011-08-01,2011,8,27.78
2012-08-01,2012,8,28.32
2013-08-01,2013,8,27.94
2014-08-01,2014,8,28.3
2015-08-01,2015,8,28.37
2016-08-01,2016,8,28.23
2017-08-01,2017,8,28.25
2018-08-01,2018,8,28.48
2019-08-01,2019,8,28.89
2020-08-01,2020,8,28.69
2021-08-01,2021,8,28.19
2022-08-01,2022,8,28.45
2023-08-01,2023,8,28.86
2024-08-01,2024,8,28.31
1981-09-01,1981,9,27.72
1982-09-01,1982,9,27.83
1983-09-01,1983,9,27.9
1984-09-01,1984,9,26.98
1985-09-01,1985,9,27.35
1986-09-01,1986,9,27.43
1987-09-01,1987,9,27.94
1988-09-01,1988,9,27.84
1989-09-01,1989,9,27.63
1990-09-01,1990,9,27.51
1991-09-01,1991,9,27.58
1992-09-01,1992,9,27.37
1993-09-01,1993,9,27.1
1994-09-01,1994,9,27.09
1995-09-01,1995,9,27.5
1996-09-01,1996,9,27.65
1997-09-01,1997,9,27.28
1998-09-01,1998,9,27.65
1999-09-01,1999,9,27.19
2000-09-01,2000,9,27.38
2001-09-01,2001,9,27.66
2002-09-01,2002,9,27.28
2003-09-01,2003,9,27.75
2004-09-01,2004,9,27.27
2005-09-01,2005,9,27.61
2006-09-01,2006,9,27.44
2007-09-01,2007,9,27.43
2008-09-01,2008,9,27.22
2009-09-01,2009,9,27.73
2010-09-01,2010,9,27.73
2011-09-01,2011,9,27.49
2012-09-01,2012,9,27.63
2013-09-01,2013,9,27.76
2014-09-01,2014,9,27.91
2015-09-01,2015,9,28.1
2016-09-01,2016,9,27.72
2017-09-01,2017,9,28.04
2018-09-01,2018,9,27.98
2019-09-01,2019,9,27.82
2020-09-01,2020,9,28.2
2021-09-01,2021,9,27.62
2022-09-01,2022,9,27.97
2023-09-01,2023,9,28.33
2024-09-01,2024,9,28.31
1981-10-01,1981,10,25.62
1982-10-01,1982,10,26.34
1983-10-01,1983,10,25.77
1984-10-01,1984,10,26.01
1985-10-01,1985,10,25.25
1986-10-01,1986,10,24.88
1987-10-01,1987,10,25.99
1988-10-01,1988,10,25.4
1989-10-01,1989,10,26.22
1990-10-01,1990,10,24.93
1991-10-01,1991,10,25.4
1992-10-01,1992,10,25.93
1993-10-01,1993,10,25.77
1994-10-01,1994,10,25.62
1995-10-01,1995,10,25.58
1996-10-01,1996,10,25.16
1997-10-01,1997,10,25.59
1998-10-01,1998,10,26.96
1999-10-01,1999,10,25.86
2000-10-01,2000,10,26.27
2001-10-01,2001,10,26.37
2002-10-01,2002,10,25.48
2003-10-01,2003,10,26.54
2004-10-01,2004,10,24.98
2005-10-01,2005,10,26.1
2006-10-01,2006,10,26.32
2007-10-01,2007,10,25.55
2008-10-01,2008,10,25.72
2009-10-01,2009,10,24.94
2010-10-01,2010,10,26.52
2011-10-01,2011,10,26.59
2012-10-01,2012,10,24.32
2013-10-01,2013,10,26.18
2014-10-01,2014,10,26.12
2015-10-01,2015,10,26.68
2016-10-01,2016,10,26.08
2017-10-01,2017,10,26.7
2018-10-01,2018,10,25.93
2019-10-01,2019,10,26.16
2020-10-01,2020,10,27.21
2021-10-01,2021,10,26.81
2022-10-01,2022,10,26.01
2023-10-01,2023,10,26.31
2024-10-01,2024,10,27.2
1981-11-01,1981,11,21.14
1982-11-01,1982,11,22.44
1983-11-01,1983,11,23.63
1984-11-01,1984,11,20.37
1985-11-01,1985,11,21.21
1986-11-01,1986,11,22.1
1987-11-01,1987,11,21.97
1988-11-01,1988,11,22.09
1989-11-01,1989,11,21.79
1990-11-01,1990,11,22.2
1991-11-01,1991,11,20.35
1992-11-01,1992,11,22.56
1993-11-01,1993,11,21.64
1994-11-01,1994,11,21.83
1995-11-01,1995,11,21.34
1996-11-01,1996,11,20.95
1997-11-01,1997,11,23.21
1998-11-01,1998,11,22.85
1999-11-01,1999,11,20.92
2000-11-01,2000,11,22.79
2001-11-01,2001,11,23.08
2002-11-01,2002,11,21.4
2003-11-01,2003,11,21.35
2004-11-01,2004,11,21.41
2005-11-01,2005,11,20.44
2006-11-01,2006,11,22.06
2007-11-01,2007,11,21.96
2008-11-01,2008,11,22.08
2009-11-01,2009,11,22.12
2010-11-01,2010,11,24.19
2011-11-01,2011,11,22.37
2012-11-01,2012,11,20.16
2013-11-01,2013,11,20.9
2014-11-01,2014,11,20.96
2015-11-01,2015,11,23.36
2016-11-01,2016,11,21.23
2017-11-01,2017,11,21.68
2018-11-01,2018,11,22.73
2019-11-01,2019,11,22.49
2020-11-01,2020,11,21.93
2021-11-01,2021,11,22.15
2022-11-01,2022,11,21.09
2023-11-01,2023,11,22.44
2024-11-01,2024,11,22.61
1981-12-01,1981,12,18.0
1982-12-01,1982,12,19.51
1983-12-01,1983,12,19.84
1984-12-01,1984,12,18.55
1985-12-01,1985,12,19.37
1986-12-01,1986,12,18.69
1987-12-01,1987,12,19.2
1988-12-01,1988,12,19.94
1989-12-01,1989,12,18.69
1990-12-01,1990,12,18.25
1991-12-01,1991,12,18.17
1992-12-01,1992,12,19.1
1993-12-01,1993,12,17.06
1994-12-01,1994,12,17.95
1995-12-01,1995,12,17.53
1996-12-01,1996,12,17.2
1997-12-01,1997,12,18.3
1998-12-01,1998,12,17.2
1999-12-01,1999,12,18.18
2000-12-01,2000,12,17.24
2001-12-01,2001,12,16.84
2002-12-01,2002,12,18.04
2003-12-01,2003,12,17.33
2004-12-01,2004,12,18.75
2005-12-01,2005,12,17.19
2006-12-01,2006,12,18.0
2007-12-01,2007,12,16.37
2008-12-01,2008,12,19.48
2009-12-01,2009,12,18.08
2010-12-01,2010,12,17.97
2011-12-01,2011,12,17.83
2012-12-01,2012,12,16.07
2013-12-01,2013,12,18.11
2014-12-01,2014,12,16.33
2015-12-01,2015,12,19.91
2016-12-01,2016,12,17.8
2017-12-01,2017,12,18.5
2018-12-01,2018,12,17.34
2019-12-01,2019,12,17.64
2020-12-01,2020,12,18.03
2021-12-01,2021,12,18.31
2022-12-01,2022,12,18.27
2023-12-01,2023,12,18.59
2024-12-01,2024,12,18.25
